"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 18 18:07:55 IST 2022","Tue Oct 18 18:07:56 IST 2022","891","","grade Test -T2","","grade Test -T2","providing login credentials and logging in -T2","providing login credentials and logging in -T2",""
"passed","Tue Oct 18 18:11:57 IST 2022","Tue Oct 18 18:11:57 IST 2022","869","","classroom Test -T3","","classroom Test -T3","providing login credentials and logging in -T3","providing login credentials and logging in -T3",""
"skipped","Tue Oct 18 18:07:56 IST 2022","Tue Oct 18 18:07:56 IST 2022","0","","grade Test -T2","","grade Test -T2","providing negative login credentials and logging in -T2","providing negative login credentials and logging in -T2",""
"passed","Tue Oct 18 18:12:52 IST 2022","Tue Oct 18 18:12:57 IST 2022","4486","","Subject Routing Test -T4","","Subject Routing Test -T4","searching for created grade -T4","searching for created grade -T4",""
"skipped","Tue Oct 18 18:11:57 IST 2022","Tue Oct 18 18:11:57 IST 2022","0","","classroom Test -T3","","classroom Test -T3","providing negative login credentials and logging in -T3","providing negative login credentials and logging in -T3",""
"passed","Tue Oct 18 18:05:54 IST 2022","Tue Oct 18 18:05:55 IST 2022","1132","","Subject Test -T1 ","","Subject Test -T1 ","providing login credentials and logging in -T1","providing login credentials and logging in -T1",""
"skipped","Tue Oct 18 18:05:55 IST 2022","Tue Oct 18 18:05:55 IST 2022","0","","Subject Test -T1 ","","Subject Test -T1 ","providing negative login credentials and logging in -T1","providing negative login credentials and logging in -T1",""
"passed","Tue Oct 18 18:12:59 IST 2022","Tue Oct 18 18:12:59 IST 2022","356","","Subject Routing Test -T4","","Subject Routing Test -T4","searching for created subject-T4 ","searching for created subject-T4 ",""
"skipped","Tue Oct 18 18:12:00 IST 2022","Tue Oct 18 18:12:00 IST 2022","0","","classroom Test -T3","","classroom Test -T3","deleting created classroom -T3","deleting created classroom -T3",""
"passed","Tue Oct 18 18:12:59 IST 2022","Tue Oct 18 18:12:59 IST 2022","106","","Subject Routing Test -T4","","Subject Routing Test -T4","scroll in to view search box -T4","scroll in to view search box -T4",""
"skipped","Tue Oct 18 18:08:01 IST 2022","Tue Oct 18 18:08:01 IST 2022","0","","grade Test -T2","","grade Test -T2","deleting created grade -T2","deleting created grade -T2",""
"passed","Tue Oct 18 18:05:55 IST 2022","Tue Oct 18 18:05:57 IST 2022","1696","","Subject Test -T1 ","","Subject Test -T1 ","adding subject -T1 ","adding subject -T1 ",""
"skipped","Tue Oct 18 18:13:06 IST 2022","Tue Oct 18 18:13:06 IST 2022","0","","Subject Routing Test -T4","","Subject Routing Test -T4","deleting created subject routing -T4","deleting created subject routing -T4",""
"passed","Tue Oct 18 18:11:55 IST 2022","Tue Oct 18 18:11:57 IST 2022","1848","","classroom Test -T3","","classroom Test -T3","entering url -T3","entering url -T3",""
"skipped","Tue Oct 18 18:12:46 IST 2022","Tue Oct 18 18:12:46 IST 2022","0","","Subject Routing Test -T4","","Subject Routing Test -T4","providing negative login credentials and logging in -T4","providing negative login credentials and logging in -T4",""
"passed","Tue Oct 18 18:11:59 IST 2022","Tue Oct 18 18:11:59 IST 2022","101","","classroom Test -T3","","classroom Test -T3","scroll in to view -T3","scroll in to view -T3",""
"passed","Tue Oct 18 18:12:36 IST 2022","Tue Oct 18 18:12:45 IST 2022","8778","","Subject Routing Test -T4","","Subject Routing Test -T4","entering url -T4","entering url -T4",""
"passed","Tue Oct 18 18:08:01 IST 2022","Tue Oct 18 18:08:01 IST 2022","452","","grade Test -T2","","grade Test -T2","logout as admin -T2","logout as admin -T2",""
"passed","Tue Oct 18 18:12:46 IST 2022","Tue Oct 18 18:12:52 IST 2022","6416","","Subject Routing Test -T4","","Subject Routing Test -T4","adding grade -T4","adding grade -T4",""
"passed","Tue Oct 18 18:13:05 IST 2022","Tue Oct 18 18:13:06 IST 2022","505","","Subject Routing Test -T4","","Subject Routing Test -T4","searching for created routing -T4","searching for created routing -T4",""
"skipped","Tue Oct 18 18:05:57 IST 2022","Tue Oct 18 18:05:57 IST 2022","0","","Subject Test -T1 ","","Subject Test -T1 ","deleting created -T1 ","deleting created -T1 ",""
"passed","Tue Oct 18 18:08:00 IST 2022","Tue Oct 18 18:08:00 IST 2022","87","","grade Test -T2","","grade Test -T2","scroll in to view -T2","scroll in to view -T2",""
"passed","Tue Oct 18 18:05:57 IST 2022","Tue Oct 18 18:05:57 IST 2022","547","","Subject Test -T1 ","","Subject Test -T1 ","searching for created subject-T1 ","searching for created subject-T1 ",""
"passed","Tue Oct 18 18:11:59 IST 2022","Tue Oct 18 18:12:00 IST 2022","372","","classroom Test -T3","","classroom Test -T3","searching for created classroom -T3","searching for created classroom -T3",""
"passed","Tue Oct 18 18:08:00 IST 2022","Tue Oct 18 18:08:01 IST 2022","497","","grade Test -T2","","grade Test -T2","searching for created grade -T2","searching for created grade -T2",""
"passed","Tue Oct 18 18:13:06 IST 2022","Tue Oct 18 18:13:06 IST 2022","586","","Subject Routing Test -T4","","Subject Routing Test -T4","logout as admin -T4","logout as admin -T4",""
"passed","Tue Oct 18 18:07:50 IST 2022","Tue Oct 18 18:07:55 IST 2022","4264","","grade Test -T2","","grade Test -T2","entering url -T2","entering url -T2",""
"passed","Tue Oct 18 18:05:57 IST 2022","Tue Oct 18 18:05:58 IST 2022","705","","Subject Test -T1 ","","Subject Test -T1 ","logout as admin -T1","logout as admin -T1",""
"passed","Tue Oct 18 18:05:57 IST 2022","Tue Oct 18 18:05:57 IST 2022","105","","Subject Test -T1 ","","Subject Test -T1 ","scroll in to view search box -T1","scroll in to view search box -T1",""
"passed","Tue Oct 18 18:12:00 IST 2022","Tue Oct 18 18:12:00 IST 2022","597","","classroom Test -T3","","classroom Test -T3","logout as admin -T3","logout as admin -T3",""
"passed","Tue Oct 18 18:13:05 IST 2022","Tue Oct 18 18:13:05 IST 2022","81","","Subject Routing Test -T4","","Subject Routing Test -T4","scroll in to view -T4","scroll in to view -T4",""
"passed","Tue Oct 18 18:12:45 IST 2022","Tue Oct 18 18:12:46 IST 2022","928","","Subject Routing Test -T4","","Subject Routing Test -T4","providing login credentials and logging in -T4","providing login credentials and logging in -T4",""
"passed","Tue Oct 18 18:11:57 IST 2022","Tue Oct 18 18:11:59 IST 2022","1673","","classroom Test -T3","","classroom Test -T3","adding classroom -T3","adding classroom -T3",""
"passed","Tue Oct 18 18:12:59 IST 2022","Tue Oct 18 18:13:05 IST 2022","5795","","Subject Routing Test -T4","","Subject Routing Test -T4","creating the routing for the subject -T4","creating the routing for the subject -T4",""
"passed","Tue Oct 18 18:07:56 IST 2022","Tue Oct 18 18:08:00 IST 2022","4513","","grade Test -T2","","grade Test -T2","adding grade -T2","adding grade -T2",""
"passed","Tue Oct 18 18:12:57 IST 2022","Tue Oct 18 18:12:59 IST 2022","2150","","Subject Routing Test -T4","","Subject Routing Test -T4","adding subject -T4 ","adding subject -T4 ",""
"passed","Tue Oct 18 18:05:52 IST 2022","Tue Oct 18 18:05:54 IST 2022","2062","","Subject Test -T1 ","","Subject Test -T1 ","entering url -T1","entering url -T1",""
